A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1640198
Episode 314, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 315, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 316, Reward: -21.0, Mean Loss: 5.478866172710639, Number of Steps: 764
Episode 317, Reward: -21.0, Mean Loss: 5.3907307829532325, Number of Steps: 764
Episode 318, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 319, Reward: -21.0, Mean Loss: 5.40538833777942, Number of Steps: 764
Episode 320, Reward: -21.0, Mean Loss: 5.398059560366326, Number of Steps: 764
Episode 321, Reward: -21.0, Mean Loss: 5.417666320401336, Number of Steps: 764
Episode 322, Reward: -21.0, Mean Loss: 5.495903299741096, Number of Steps: 764
Episode 323, Reward: -21.0, Mean Loss: 5.490954094532273, Number of Steps: 764
Episode 324, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 325, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 326, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 327, Reward: -21.0, Mean Loss: 5.456689779671075, Number of Steps: 764
Episode 328, Reward: -21.0, Mean Loss: 5.461638984879898, Number of Steps: 764
Episode 329, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
